author_name,mocks_scraped,years_covered,avg_custom_accuracy_score,avg_player_to_pick_match_rate,avg_player_to_team_match_rate,avg_team_to_position_match_rate,avg_round_match_rate,avg_mean_pick_abs_error
Pete Fiutak,3,3,21.5625,0.15625,0.20833333333333334,0.3229166666666667,0.75,9.447916666666666
Justin Rogers,1,1,21.5625,0.15625,0.1875,0.375,0.6875,8.46875
Ryan Roberts,1,1,21.5625,0.125,0.21875,0.34375,0.84375,6.40625
Phil Perry,5,5,21.546370967741936,0.18205645161290324,0.20120967741935486,0.30120967741935484,0.8237903225806452,8.331653225806452
Keith Sanchez,3,3,21.458333333333332,0.16666666666666666,0.20833333333333334,0.3020833333333333,0.8020833333333334,11.291666666666666
Steven Cheah,4,4,21.428931451612904,0.16481854838709678,0.25126008064516125,0.19606854838709678,0.8117439516129032,8.773185483870968
Josh Edwards,6,6,21.399529569892476,0.17271505376344085,0.20917338709677416,0.2879704301075269,0.7960349462365591,8.495631720430106
Justin Fried,1,1,21.29032258064516,0.1290322580645161,0.2580645161290322,0.2258064516129032,0.8387096774193549,8.870967741935484
Nick O'Malley,1,1,21.29032258064516,0.1290322580645161,0.2580645161290322,0.2258064516129032,0.7741935483870968,7.419354838709677
Brian Miller,1,1,21.25,0.15625,0.21875,0.28125,0.78125,7.78125
Chet Gresham,3,3,21.236559139784948,0.16834677419354838,0.2315188172043011,0.23051075268817203,0.863239247311828,6.560483870967741
Jess Root,2,2,21.118951612903228,0.17338709677419356,0.20463709677419356,0.2842741935483871,0.8089717741935484,8.363407258064516
Pete Prisco,6,6,20.964381720430108,0.167002688172043,0.19354838709677416,0.3138440860215054,0.8481182795698925,7.621639784946237
Theo Mackie,1,1,20.9375,0.21875,0.1875,0.25,0.8125,10.625
Tony Pauline,2,2,20.9375,0.1875,0.1875,0.296875,0.828125,7.53125
Tom Downey,1,1,20.9375,0.15625,0.25,0.1875,0.90625,6.375
Nick Barrett,4,4,20.91733870967742,0.16507056451612903,0.21244959677419356,0.26713709677419356,0.8266129032258065,7.545866935483871
C.J. Doon,2,2,20.78125,0.140625,0.21875,0.28125,0.796875,7.515625
Kevin Hanson,3,3,20.729166666666668,0.17708333333333334,0.1875,0.3020833333333333,0.8125,7.34375
Seth Trachtman,1,1,20.64516129032258,0.2258064516129032,0.1612903225806451,0.2903225806451613,0.7419354838709677,13.741935483870968
