author_name,mock_name,mocks_scraped,years_covered,avg_custom_accuracy_score,avg_player_to_pick_match_rate,avg_player_to_team_match_rate,avg_team_to_position_match_rate,avg_round_match_rate,avg_player_drafted_match_rate,avg_mean_pick_abs_error
Danny Kelly,The Ringer,2,2,27.34375,0.25,0.234375,0.40625,0.828125,1.0,6.75
Eddie Brown,San Diego Union Tribune,4,4,27.217741935483872,0.2036290322580645,0.27469758064516125,0.36869959677419356,0.8109879032258065,1.0,7.8671875
Scotty Payne,Mile High Report,5,5,27.191532258064512,0.24495967741935484,0.27620967741935487,0.3016129032258065,0.823991935483871,1.0,7.9957661290322575
Johnny McGonigal,Penn Live,1,1,27.187500000000004,0.25,0.28125,0.28125,0.875,1.0,5.90625
Frankie Taddeo,Sports Illustrated,1,1,27.187500000000004,0.25,0.21875,0.4375,0.75,1.0,9.78125
Daniel Kitchen,Steelers Depot,1,1,27.1875,0.21875,0.25,0.40625,0.75,1.0,8.25
Thor Nystrom,Rotoworld,1,1,27.1875,0.21875,0.25,0.40625,0.8125,1.0,8.0
Charles Davis,NFL.com,5,5,26.875,0.23125,0.25625,0.35625,0.81875,1.0,7.33125
Sam Teets,Sports Talk,2,2,26.71875,0.21875,0.265625,0.34375,0.84375,1.0,6.25
Ben Axelrod,WKYC,3,3,26.599462365591403,0.23017473118279572,0.2516801075268817,0.355510752688172,0.8111559139784946,1.0,7.488911290322581
Ayrton Ostly,USA Today,1,1,26.5625,0.28125,0.25,0.28125,0.78125,1.0,11.59375
Alex Simpson,Overtime Heroics,1,1,26.5625,0.21875,0.25,0.375,0.78125,1.0,8.8125
Staff,Predominately Orange,1,1,26.5625,0.21875,0.25,0.375,0.78125,1.0,8.0
Cam Garrity,Patriots Wire,1,1,26.5625,0.1875,0.28125,0.34375,0.8125,1.0,8.71875
Dan Kadar,Akron Beacon Journal,2,2,26.40625,0.234375,0.25,0.34375,0.78125,1.0,9.171875
Andrew Erickson,Pro Football Focus,1,1,26.25,0.21875,0.21875,0.4375,0.78125,1.0,7.25
Keith Lott,Fantasy Six Pack,1,1,26.25,0.1875,0.3125,0.25,0.8125,1.0,8.9375
Mike Freeman,Bleacher Report,1,1,26.25,0.1875,0.25,0.40625,0.78125,1.0,9.0
Steve Serby,NY Post,5,5,26.114919354838708,0.2258064516129032,0.26391129032258065,0.307258064516129,0.8425403225806452,1.0,7.317741935483871
Richie Bradshaw,SI,2,2,26.09375,0.21875,0.265625,0.3125,0.796875,1.0,11.609375
