team_slug,team_name,player_name,player_position,mock_count,unique_mocks,unique_authors,avg_round,median_round,min_round,max_round,avg_pick,median_pick,min_pick,max_pick,team_mock_count,share_of_team_picks
dallas-cowboys,Dallas Cowboys,Michael Trigg,TE,1,1,1,4.0,4.0,4,4,,,,,26,0.038461538461538464
dallas-cowboys,Dallas Cowboys,Nick Barrett,DL,1,1,1,5.0,5.0,5,5,,,,,26,0.038461538461538464
dallas-cowboys,Dallas Cowboys,Nyjalik Kelly,EDGE,1,1,1,7.0,7.0,7,7,,,,,26,0.038461538461538464
dallas-cowboys,Dallas Cowboys,Zane Durant,DL,1,1,1,5.0,5.0,5,5,,,,,26,0.038461538461538464
denver-broncos,Denver Broncos,Cole Payton,QB,1,1,1,5.0,5.0,5,5,,,,,5,0.2
denver-broncos,Denver Broncos,Diego Pounds,OT,1,1,1,3.0,3.0,3,3,,,,,5,0.2
denver-broncos,Denver Broncos,Jake Golday,LB,1,1,1,1.0,1.0,1,1,,,,,5,0.2
denver-broncos,Denver Broncos,John Michael Gyllenborg,TE,1,1,1,4.0,4.0,4,4,,,,,5,0.2
denver-broncos,Denver Broncos,Jonah Coleman,RB,1,1,1,2.0,2.0,2,2,,,,,5,0.2
detroit-lions,Detroit Lions,Aiden Fisher,LB,2,2,2,5.5,5.5,5,6,,,,,34,0.058823529411764705
detroit-lions,Detroit Lions,R Mason Thomas,EDGE,2,2,2,1.5,1.5,1,2,,,,,34,0.058823529411764705
detroit-lions,Detroit Lions,Akheem Mesidor,EDGE,1,1,1,1.0,1.0,1,1,,,,,34,0.029411764705882353
detroit-lions,Detroit Lions,Barion Brown,WR,1,1,1,6.0,6.0,6,6,,,,,34,0.029411764705882353
detroit-lions,Detroit Lions,Blake Miller,OT,1,1,1,1.0,1.0,1,1,,,,,34,0.029411764705882353
detroit-lions,Detroit Lions,Bryce Boettcher,LB,1,1,1,4.0,4.0,4,4,,,,,34,0.029411764705882353
detroit-lions,Detroit Lions,Bud Clark,S,1,1,1,4.0,4.0,4,4,,,,,34,0.029411764705882353
detroit-lions,Detroit Lions,Caleb Banks,DL,1,1,1,3.0,3.0,3,3,,,,,34,0.029411764705882353
detroit-lions,Detroit Lions,Chris McClellan,DL,1,1,1,4.0,4.0,4,4,,,,,34,0.029411764705882353
detroit-lions,Detroit Lions,Cole Payton,QB,1,1,1,7.0,7.0,7,7,,,,,34,0.029411764705882353
detroit-lions,Detroit Lions,Francis Mauigoa,OT,1,1,1,1.0,1.0,1,1,,,,,34,0.029411764705882353
detroit-lions,Detroit Lions,Gabe Jacas,EDGE,1,1,1,2.0,2.0,2,2,,,,,34,0.029411764705882353
detroit-lions,Detroit Lions,Gennings Dunker,OT,1,1,1,2.0,2.0,2,2,,,,,34,0.029411764705882353
detroit-lions,Detroit Lions,George Gumbs Jr.,EDGE,1,1,1,6.0,6.0,6,6,,,,,34,0.029411764705882353
detroit-lions,Detroit Lions,Hezekiah Masses,CB,1,1,1,4.0,4.0,4,4,,,,,34,0.029411764705882353
detroit-lions,Detroit Lions,Isaiah World,OT,1,1,1,4.0,4.0,4,4,,,,,34,0.029411764705882353
detroit-lions,Detroit Lions,J'Mari Taylor,RB,1,1,1,5.0,5.0,5,5,,,,,34,0.029411764705882353
detroit-lions,Detroit Lions,Jadon Canady,CB,1,1,1,7.0,7.0,7,7,,,,,34,0.029411764705882353
detroit-lions,Detroit Lions,Jalon Kilgore,S,1,1,1,5.0,5.0,5,5,,,,,34,0.029411764705882353
detroit-lions,Detroit Lions,Kaden Wetjen,WR,1,1,1,7.0,7.0,7,7,,,,,34,0.029411764705882353
detroit-lions,Detroit Lions,Kaleb Proctor,DL,1,1,1,6.0,6.0,6,6,,,,,34,0.029411764705882353
detroit-lions,Detroit Lions,Kaytron Allen,RB,1,1,1,4.0,4.0,4,4,,,,,34,0.029411764705882353
detroit-lions,Detroit Lions,Lorenzo Styles Jr.,CB,1,1,1,6.0,6.0,6,6,,,,,34,0.029411764705882353
detroit-lions,Detroit Lions,Max Bredeson,RB,1,1,1,5.0,5.0,5,5,,,,,34,0.029411764705882353
detroit-lions,Detroit Lions,Monroe Freeling,OT,1,1,1,1.0,1.0,1,1,,,,,34,0.029411764705882353
detroit-lions,Detroit Lions,Nadame Tucker,EDGE,1,1,1,6.0,6.0,6,6,,,,,34,0.029411764705882353
detroit-lions,Detroit Lions,Nate Boerkircher,TE,1,1,1,5.0,5.0,5,5,,,,,34,0.029411764705882353
detroit-lions,Detroit Lions,Noah Whittington,RB,1,1,1,7.0,7.0,7,7,,,,,34,0.029411764705882353
detroit-lions,Detroit Lions,Oscar Delp,TE,1,1,1,5.0,5.0,5,5,,,,,34,0.029411764705882353
detroit-lions,Detroit Lions,Pat Coogan,IOL,1,1,1,5.0,5.0,5,5,,,,,34,0.029411764705882353
detroit-lions,Detroit Lions,Treydan Stukes,CB,1,1,1,2.0,2.0,2,2,,,,,34,0.029411764705882353
detroit-lions,Detroit Lions,Tyler Onyedim,DL,1,1,1,6.0,6.0,6,6,,,,,34,0.029411764705882353
green-bay-packers,Green Bay Packers,Ar'maj Reed-Adams,IOL,1,1,1,5.0,5.0,5,5,,,,,22,0.045454545454545456
green-bay-packers,Green Bay Packers,Brian Parker II,OT,1,1,1,4.0,4.0,4,4,,,,,22,0.045454545454545456
green-bay-packers,Green Bay Packers,Chip Trayanum,RB,1,1,1,7.0,7.0,7,7,,,,,22,0.045454545454545456
green-bay-packers,Green Bay Packers,Dani Dennis-Sutton,EDGE,1,1,1,3.0,3.0,3,3,,,,,22,0.045454545454545456
green-bay-packers,Green Bay Packers,Daylen Everette,CB,1,1,1,3.0,3.0,3,3,,,,,22,0.045454545454545456
green-bay-packers,Green Bay Packers,De'Zhaun Stribling,WR,1,1,1,4.0,4.0,4,4,,,,,22,0.045454545454545456
green-bay-packers,Green Bay Packers,Deven Eastern,DL,1,1,1,7.0,7.0,7,7,,,,,22,0.045454545454545456
green-bay-packers,Green Bay Packers,Devon Marshall,CB,1,1,1,6.0,6.0,6,6,,,,,22,0.045454545454545456
green-bay-packers,Green Bay Packers,Domonique Orange,DL,1,1,1,2.0,2.0,2,2,,,,,22,0.045454545454545456
green-bay-packers,Green Bay Packers,Dontay Corleone,DL,1,1,1,4.0,4.0,4,4,,,,,22,0.045454545454545456
green-bay-packers,Green Bay Packers,Drew Stevens,K,1,1,1,7.0,7.0,7,7,,,,,22,0.045454545454545456
green-bay-packers,Green Bay Packers,Ephesians Prysock,CB,1,1,1,5.0,5.0,5,5,,,,,22,0.045454545454545456
green-bay-packers,Green Bay Packers,George Gumbs Jr.,EDGE,1,1,1,6.0,6.0,6,6,,,,,22,0.045454545454545456
green-bay-packers,Green Bay Packers,Josh Cameron,WR,1,1,1,5.0,5.0,5,5,,,,,22,0.045454545454545456
green-bay-packers,Green Bay Packers,Julian Neal,CB,1,1,1,3.0,3.0,3,3,,,,,22,0.045454545454545456
green-bay-packers,Green Bay Packers,Keith Abney II,CB,1,1,1,2.0,2.0,2,2,,,,,22,0.045454545454545456
