author_name,mock_name,mocks_scraped,avg_custom_accuracy_score,avg_simple_score_points,avg_simple_score_rate,avg_round_one_player_match_rate,avg_player_to_pick_match_rate,avg_player_to_team_match_rate,avg_team_to_position_match_rate,avg_round_match_rate,avg_player_drafted_match_rate,avg_correct_player_in_round_rate,avg_same_position_same_round_rate,avg_same_position_plus_minus_one_round_rate,avg_generous_score_points,avg_generous_score_rate,avg_mean_pick_abs_error
Matthew Holleran,Blogging The Boys,1,20.833333333333336,5.0,0.20833333333333334,0.0,0.0,0.0,0.0,0.125,0.5,0.0,0.25,0.125,5.0,0.20833333333333334,
Trevor Sikkema,Pro Football Focus,25,20.042809042809044,4.8,0.20042809042809043,0.09914718614718615,0.0,0.05225685425685426,0.0,0.3195974025974026,0.8424054834054835,0.014747474747474747,0.1599119769119769,0.2372178932178932,4.8,0.20042809042809043,
Rob Schwarz Jr.,Bear Goggles On,1,20.0,3.0,0.2,0.4,0.0,0.2,0.0,0.6,1.0,0.2,0.0,0.0,3.0,0.2,
Cameron Henderson,Bear Goggles On,1,20.0,3.0,0.2,0.2,0.0,0.2,0.0,0.4,1.0,0.2,0.0,0.0,3.0,0.2,
Cory Kinnan,Browns Wire,1,20.0,3.0,0.2,0.0,0.0,0.2,0.0,0.2,1.0,0.0,0.2,0.2,3.0,0.2,
Jeff Zrebiec,The Athletic,1,20.0,6.0,0.2,0.0,0.0,0.1,0.0,0.2,1.0,0.0,0.1,0.4,6.0,0.2,
Ben Natan,Bleeding Green Nation,1,20.0,3.0,0.2,0.2,0.0,0.0,0.0,0.6,1.0,0.0,0.2,0.2,3.0,0.2,
Carlos Sanchez,Black And Teal,1,20.0,3.0,0.2,0.2,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,3.0,0.2,
William Scott,GiveMeSport,1,20.0,3.0,0.2,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.2,0.2,3.0,0.2,
Jeff Duncan,Nola.com,1,19.047619047619047,4.0,0.19047619047619047,0.14285714285714285,0.0,0.2857142857142857,0.0,0.42857142857142855,0.8571428571428571,0.14285714285714285,0.0,0.14285714285714285,4.0,0.19047619047619047,
Tony Catalina,Blogging The Boys,1,19.047619047619047,4.0,0.19047619047619047,0.2857142857142857,0.0,0.14285714285714285,0.0,0.42857142857142855,0.7142857142857143,0.0,0.2857142857142857,0.0,4.0,0.19047619047619047,
Jared Feinberg,Cat Crave,1,19.047619047619047,4.0,0.19047619047619047,0.14285714285714285,0.0,0.14285714285714285,0.0,0.42857142857142855,0.8571428571428571,0.0,0.0,0.5714285714285714,4.0,0.19047619047619047,
Joseph Person,The Athletic,1,19.047619047619047,4.0,0.19047619047619047,0.14285714285714285,0.0,0.14285714285714285,0.0,0.2857142857142857,1.0,0.0,0.14285714285714285,0.2857142857142857,4.0,0.19047619047619047,
Josh Kendall,The Athletic,1,19.047619047619047,4.0,0.19047619047619047,0.2857142857142857,0.0,0.0,0.0,0.2857142857142857,1.0,0.0,0.14285714285714285,0.2857142857142857,4.0,0.19047619047619047,
Maurice Moton,Sportsnaut,1,19.047619047619047,4.0,0.19047619047619047,0.2857142857142857,0.0,0.0,0.0,0.42857142857142855,1.0,0.0,0.2857142857142857,0.0,4.0,0.19047619047619047,
Eric Williams,Fox Sports,1,19.047619047619047,4.0,0.19047619047619047,0.14285714285714285,0.0,0.0,0.0,0.2857142857142857,1.0,0.0,0.14285714285714285,0.2857142857142857,4.0,0.19047619047619047,
Jay Robins,Stampede Blue,1,19.047619047619047,4.0,0.19047619047619047,0.14285714285714285,0.0,0.0,0.0,0.2857142857142857,1.0,0.0,0.14285714285714285,0.2857142857142857,4.0,0.19047619047619047,
Luke Hubbard,Canal Street Chronicles,1,19.047619047619047,4.0,0.19047619047619047,0.14285714285714285,0.0,0.0,0.0,0.2857142857142857,0.8571428571428571,0.0,0.2857142857142857,0.0,4.0,0.19047619047619047,
Mario Herrera Jr.,Inside The Star,1,19.047619047619047,4.0,0.19047619047619047,0.14285714285714285,0.0,0.0,0.0,0.42857142857142855,0.7142857142857143,0.0,0.0,0.5714285714285714,4.0,0.19047619047619047,
Matt Holder,Silver And Black Pride,1,19.047619047619047,4.0,0.19047619047619047,0.14285714285714285,0.0,0.0,0.0,0.2857142857142857,1.0,0.0,0.0,0.5714285714285714,4.0,0.19047619047619047,
Nate Taylor,The Athletic,1,19.047619047619047,4.0,0.19047619047619047,0.14285714285714285,0.0,0.0,0.0,0.14285714285714285,1.0,0.0,0.14285714285714285,0.2857142857142857,4.0,0.19047619047619047,
Ryan Heckman,Just Blog Baby,1,19.047619047619047,4.0,0.19047619047619047,0.14285714285714285,0.0,0.0,0.0,0.42857142857142855,0.8571428571428571,0.0,0.2857142857142857,0.0,4.0,0.19047619047619047,
Staff,Bucs Wire,1,19.047619047619047,4.0,0.19047619047619047,0.0,0.0,0.0,0.0,0.14285714285714285,0.8571428571428571,0.0,0.2857142857142857,0.0,4.0,0.19047619047619047,
Garrett Downing,BaltimoreRavens.com,1,18.51851851851852,5.0,0.18518518518518517,0.1111111111111111,0.0,0.1111111111111111,0.0,0.2222222222222222,0.8888888888888888,0.0,0.0,0.5555555555555556,5.0,0.18518518518518517,
John Hendrix,SI,1,18.51851851851852,5.0,0.18518518518518517,0.1111111111111111,0.0,0.1111111111111111,0.0,0.3333333333333333,0.8888888888888888,0.1111111111111111,0.1111111111111111,0.0,5.0,0.18518518518518517,
Lou Scataglia,Predominately Orange,1,18.51851851851852,5.0,0.18518518518518517,0.1111111111111111,0.0,0.1111111111111111,0.0,0.3333333333333333,0.6666666666666666,0.1111111111111111,0.0,0.2222222222222222,5.0,0.18518518518518517,
Zach Hicks,SI,1,18.51851851851852,5.0,0.18518518518518517,0.1111111111111111,0.0,0.1111111111111111,0.0,0.3333333333333333,0.8888888888888888,0.0,0.1111111111111111,0.3333333333333333,5.0,0.18518518518518517,
Cam Garrity,Patriots Wire,1,18.51851851851852,5.0,0.18518518518518517,0.2222222222222222,0.0,0.0,0.0,0.4444444444444444,0.7777777777777778,0.0,0.1111111111111111,0.3333333333333333,5.0,0.18518518518518517,
Andrew Moore,SI,1,18.51851851851852,5.0,0.18518518518518517,0.1111111111111111,0.0,0.0,0.0,0.4444444444444444,0.8888888888888888,0.0,0.1111111111111111,0.3333333333333333,5.0,0.18518518518518517,
