year,team_slug,team_name,player_norm,player_name,position_raw,position_normalized,school,visit_types_normalized,visit_statuses,sources,source_count,source_record_count,position_sources,school_sources,visit_type_sources,backfilled_position,backfilled_school,backfilled_visit_type,raw_visit_codes,raw_visit_markers
2026,los-angeles-chargers,Los Angeles Chargers,jaydnott,Jaydn Ott,Running Back,RB,Oklahoma,top_30_visit|local_visit,reported,nfltraderumors|walterfootball,2,2,2,2,2,False,False,False,T30,
2026,los-angeles-chargers,Los Angeles Chargers,jordanvandenberg,Jordan van den Berg,DT,DT,Georgia Tech,top_30_visit,reported,nfltraderumors,1,1,1,1,1,False,False,False,,
2026,los-angeles-chargers,Los Angeles Chargers,kcconcepcion,K.C. Concepcion,Wide Receiver,WR,Texas A&M,top_30_visit,reported|scheduled,nfltraderumors|walterfootball,2,2,2,2,2,False,False,False,T30,
2026,los-angeles-chargers,Los Angeles Chargers,kaydenmcdonald,Kayden McDonald,DT,DT,Ohio State,combine_meeting,reported,nfltraderumors,1,1,1,1,1,False,False,False,,
2026,los-angeles-chargers,Los Angeles Chargers,kaytronallen,Kaytron Allen,RB,RB,Penn State,combine_meeting,reported,nfltraderumors,1,1,1,1,1,False,False,False,,
2026,los-angeles-chargers,Los Angeles Chargers,michaelheldman,Michael Heldman,Defensive End,DE,Central Michigan,top_30_visit,reported|scheduled,nfltraderumors|walterfootball,2,2,2,2,2,False,False,False,T30,
2026,los-angeles-chargers,Los Angeles Chargers,oscardelp,Oscar Delp,TE,TE,Georgia,top_30_visit,scheduled,nfltraderumors,1,1,1,1,1,False,False,False,,
2026,los-angeles-chargers,Los Angeles Chargers,thaddeusdixon,Thaddeus Dixon,CB,CB,North Carolina,top_30_visit,scheduled,nfltraderumors,1,1,1,1,1,False,False,False,,
2026,los-angeles-chargers,Los Angeles Chargers,travisburke,Travis Burke,OT,OT,Memphis,combine_meeting,scheduled,nfltraderumors,1,1,1,1,1,False,False,False,,
2026,los-angeles-chargers,Los Angeles Chargers,tyleronyedim,Tyler Onyedim,DT,DT,Texas A&M,top_30_visit,reported,nfltraderumors,1,1,1,1,1,False,False,False,,
2026,los-angeles-chargers,Los Angeles Chargers,wesleywilliams,Wesley Williams,Defensive End,DE,Duke,pro_day_or_campus_meeting_workout,reported,walterfootball,1,1,1,1,1,False,False,False,PRO,
2026,los-angeles-chargers,Los Angeles Chargers,zionyoung,Zion Young,DE,DE,Missouri,top_30_visit,reported,nfltraderumors,1,1,1,1,1,False,False,False,,
2026,los-angeles-rams,Los Angeles Rams,akheemmesidor,Akheem Mesidor,DE,DE,Miami,combine_meeting,reported,nfltraderumors,1,1,1,1,1,False,False,False,,
2026,los-angeles-rams,Los Angeles Rams,alexharkey,Alex Harkey,OL,OL,Oregon,pro_day_meeting|private_workout,reported,nfltraderumors,1,1,1,1,1,False,False,False,,
2026,los-angeles-rams,Los Angeles Rams,brenenthompson,Brenen Thompson,WR,WR,Mississippi State,combine_meeting,reported,nfltraderumors,1,1,1,1,1,False,False,False,,
2026,los-angeles-rams,Los Angeles Rams,calebdouglas,Caleb Douglas,Wide Receiver,WR,Texas Tech,pro_day_or_campus_meeting_workout|pro_day_meeting|private_workout,reported,nfltraderumors|walterfootball,2,2,2,2,2,False,False,False,PRO|WOR,
2026,los-angeles-rams,Los Angeles Rams,carnelltate,Carnell Tate,Wide Receiver,WR,Ohio State,top_30_visit,reported,nfltraderumors|walterfootball,2,2,2,2,2,False,False,False,T30,
2026,los-angeles-rams,Los Angeles Rams,chrisjohnson,Chris Johnson,Cornerback,CB,San Diego State,pro_day_meeting|private_workout|private_meeting,reported|scheduled,nfltraderumors|walterfootball,2,3,2,2,2,False,False,False,WOR,
2026,los-angeles-rams,Los Angeles Rams,christenmiller,Christen Miller,DT,DT,Georgia,pro_day_meeting|private_workout|private_meeting,reported,nfltraderumors,1,1,1,1,1,False,False,False,,
2026,los-angeles-rams,Los Angeles Rams,darrylpeterson,Darryl Peterson,LB,LB,Wisconsin,pro_day_meeting|private_workout,reported,nfltraderumors,1,1,1,1,1,False,False,False,,
2026,los-angeles-rams,Los Angeles Rams,dezhaunstribling,De'Zhaun Stribling,WR,WR,Ole Miss,combine_meeting,reported,nfltraderumors,1,1,1,1,1,False,False,False,,
2026,los-angeles-rams,Los Angeles Rams,drewstevens,Drew Stevens,K,K,Iowa,combine_meeting,reported,nfltraderumors,1,1,1,1,1,False,False,False,,
2026,los-angeles-rams,Los Angeles Rams,elistowers,Eli Stowers,TE,TE,Vanderbilt,top_30_visit,reported,nfltraderumors,1,1,1,1,1,False,False,False,,
2026,los-angeles-rams,Los Angeles Rams,garrettnussmeier,Garrett Nussmeier,QB,QB,LSU,pro_day_meeting|private_workout,reported|scheduled,nfltraderumors,1,1,1,1,1,False,False,False,,
2026,los-angeles-rams,Los Angeles Rams,jakegolday,Jake Golday,LB,LB,Cincinnati,top_30_visit|pro_day_meeting|private_workout,reported,nfltraderumors,1,2,1,1,1,False,False,False,,
2026,los-angeles-rams,Los Angeles Rams,josiahtrotter,Josiah Trotter,LB,LB,Missouri,combine_meeting,reported,nfltraderumors,1,1,1,1,1,False,False,False,,
2026,los-angeles-rams,Los Angeles Rams,kaydenmcdonald,Kayden McDonald,DT,DT,Ohio State,combine_meeting,reported,nfltraderumors,1,1,1,1,1,False,False,False,,
2026,los-angeles-rams,Los Angeles Rams,keiontescott,Keionte Scott,CB,CB,Miami,combine_meeting,reported,nfltraderumors,1,1,1,1,1,False,False,False,,
2026,los-angeles-rams,Los Angeles Rams,makailemon,Makai Lemon,WR,WR,USC,top_30_visit|local_visit|combine_meeting,reported|scheduled,nfltraderumors,1,2,1,1,1,False,False,False,,
2026,los-angeles-rams,Los Angeles Rams,malachifields,Malachi Fields,WR,WR,Notre Dame,pro_day_meeting|private_workout,reported,nfltraderumors,1,1,1,1,1,False,False,False,,
2026,los-angeles-rams,Los Angeles Rams,mansoordelane,Mansoor Delane,CB,CB,LSU,combine_meeting,reported,nfltraderumors,1,1,1,1,1,False,False,False,,
2026,los-angeles-rams,Los Angeles Rams,micahmorris,Micah Morris,OL,OL,Georgia,combine_meeting,reported,nfltraderumors,1,1,1,1,1,False,False,False,,
2026,los-angeles-rams,Los Angeles Rams,monroefreeling,Monroe Freeling,OT,OT,Georgia,pro_day_meeting|private_workout,reported,nfltraderumors,1,1,1,1,1,False,False,False,,
2026,los-angeles-rams,Los Angeles Rams,reggievirgil,Reggie Virgil,Wide Receiver,WR,Texas Tech,pro_day_or_campus_meeting_workout|pro_day_meeting|private_workout|private_meeting,reported|scheduled,nfltraderumors|walterfootball,2,2,2,2,2,False,False,False,PRO,
2026,los-angeles-rams,Los Angeles Rams,treydanstukes,Treydan Stukes,Cornerback,CB,Arizona,top_30_visit|local_visit,reported,nfltraderumors|walterfootball,2,2,2,2,2,False,False,False,LOC,
2026,los-angeles-rams,Los Angeles Rams,zachariahbranch,Zachariah Branch,WR,WR,Georgia,pro_day_meeting|private_workout,reported,nfltraderumors,1,1,1,1,1,False,False,False,,
2026,miami-dolphins,Miami Dolphins,ajhaulcy,A.J. Haulcy,Cornerback,CB,LSU,top_30_visit,reported|scheduled,nfltraderumors|walterfootball,2,2,2,2,2,False,False,False,T30,
2026,miami-dolphins,Miami Dolphins,aamilwagner,Aamil Wagner,OT,OT,Notre Dame,pro_day_meeting|private_workout,reported,nfltraderumors,1,1,1,1,1,False,False,False,,
2026,miami-dolphins,Miami Dolphins,akheemmesidor,Akheem Mesidor,DE,DE,Miami,top_30_visit|local_visit,reported,nfltraderumors,1,1,1,1,1,False,False,False,,
2026,miami-dolphins,Miami Dolphins,andrefuller,Andre Fuller,DB,DB,Toledo,pro_day_meeting|private_workout,reported,nfltraderumors,1,1,1,1,1,False,False,False,,
2026,miami-dolphins,Miami Dolphins,anthonyhill,Anthony Hill Jr,LB,LB,Texas,pro_day_meeting|private_workout,reported,nfltraderumors,1,1,1,1,1,False,False,False,,
2026,miami-dolphins,Miami Dolphins,antoniowilliams,Antonio Williams,WR,WR,Clemson,combine_meeting,reported,nfltraderumors,1,1,1,1,1,False,False,False,,
2026,miami-dolphins,Miami Dolphins,cjdaniels,C.J. Daniels,Wide Receiver,WR,Miami,local_visit,reported,walterfootball,1,1,1,1,1,False,False,False,LOC,
2026,miami-dolphins,Miami Dolphins,carsonbeck,Carson Beck,Quarterback,QB,Miami,top_30_visit|local_visit|combine_meeting,reported,nfltraderumors|walterfootball,2,3,2,2,2,False,False,False,LOC,
2026,miami-dolphins,Miami Dolphins,carverwillis,Carver Willis,OL,OL,Washington,combine_meeting,reported,nfltraderumors,1,1,1,1,1,False,False,False,,
2026,miami-dolphins,Miami Dolphins,charlesdemmings,Charles Demmings,Cornerback,CB,Stephen F. Austin,top_30_visit,reported|scheduled,nfltraderumors|walterfootball,2,2,2,2,2,False,False,False,T30,
2026,miami-dolphins,Miami Dolphins,chasebisontis,Chase Bisontis,Offensive Tackle,OT,Texas A&M,top_30_visit,reported,nfltraderumors|walterfootball,2,2,2,2,2,False,False,False,T30,
2026,miami-dolphins,Miami Dolphins,christenmiller,Christen Miller,DT,DT,Georgia,top_30_visit,scheduled,nfltraderumors,1,1,1,1,1,False,False,False,,
2026,miami-dolphins,Miami Dolphins,christianmiller,Christian Miller,Defensive Tackle,DT,Georgia,top_30_visit,reported,walterfootball,1,1,1,1,1,False,False,False,T30,
2026,miami-dolphins,Miami Dolphins,coltonhood,Colton Hood,CB,CB,Tennessee,combine_meeting,reported,nfltraderumors,1,1,1,1,1,False,False,False,,
2026,miami-dolphins,Miami Dolphins,cyrusallen,Cyrus Allen,Wide Receiver,WR,Cincinnati,top_30_visit,reported|scheduled,nfltraderumors|walterfootball,2,2,2,2,2,False,False,False,T30,
2026,miami-dolphins,Miami Dolphins,darrylpeterson,Darryl Peterson,LB,LB,Wisconsin,pro_day_meeting|private_workout,reported,nfltraderumors,1,1,1,1,1,False,False,False,,
2026,miami-dolphins,Miami Dolphins,demondclaiborne,Demond Claiborne,RB,RB,Wake Forest,combine_meeting|shrine_bowl_meeting,reported,nfltraderumors,1,1,1,1,1,False,False,False,,
2026,miami-dolphins,Miami Dolphins,denzelboston,Denzel Boston,Wide Receiver,WR,Washington,top_30_visit|pro_day_or_campus_meeting_workout|pro_day_meeting|private_workout,reported,nfltraderumors|walterfootball,2,3,2,2,2,False,False,False,PRO|T30,
2026,miami-dolphins,Miami Dolphins,emmanuelmcneilwarren,Emmanuel McNeil-Warren,Safety,S,Toledo,top_30_visit,reported,nfltraderumors|walterfootball,2,2,2,2,2,False,False,False,T30,
2026,miami-dolphins,Miami Dolphins,hezekiahmasses,Hezekiah Masses,Cornerback,CB,California,top_30_visit,reported|scheduled,nfltraderumors|walterfootball,2,2,2,2,2,False,False,False,T30,
2026,miami-dolphins,Miami Dolphins,jakepope,Jake Pope,Offensive Tackle,OT,Illinois State,pro_day_or_campus_meeting_workout,reported,walterfootball,1,1,1,1,1,False,False,False,PRO,
